name,age,height
Lisa Mcshea,28.342231348400002,nan
Andrea Van Den Hurk,23.685147159499998,nan
Ryoko Takemura,26.7488021903,nan
Kokoro Takehara,18.3572895277,nan
Chin Wei Chan,18.146475017100002,nan
Celine Francois,20.5557837098,nan
Dubravka Cupac,17.0924024641,nan
Chia Jung Chuang,18.1409993155,nan
Sarah Borwell,23.5345653662,nan
I Ting Wang,21.2785763176,nan
Carolyn Mcgann,20.7638603696,nan
Asha Burns,20.167008898,nan
Beti Sekulovski,19.794661191,nan
Darya Ivanov,17.8206707734,nan
Nicole Sewell,22.157426420300002,nan
Bree Calderwood,22.8336755647,nan
Kristen Van Elden,21.453798768,nan
Surina De Beer,24.6789869952,nan
Lara Picone,16.5831622177,nan
Antonia Matic,18.1683778234,nan
Deanna Roberts,21.590691307300002,nan
Lauren Breadmore,19.753593429200002,nan
Arpi Kojian,19.7234770705,nan
Madita Suer,21.916495551,nan
Gabrielle Baker,18.6283367556,nan
Monique Adamczak,20.1122518823,nan
Christine Alford,19.542778918499998,nan
Kelly Blanch,23.0116358658,nan
Cassandra Barr,20.369609856300002,nan
Nadia Johnston,25.357973990399998,nan
Chattida Thimjapo,20.4079397673,nan
Rushmi Chakravarthi,25.3963039014,nan
Lauren Cheung,18.8911704312,nan
Giselle Swart,25.541409993200002,nan
Lara Giltinan,17.0759753593,nan
Maria Fernanda Alves,19.8767967146,nan
Chantal Coombs,21.6673511294,nan
Veronica Spiegel,19.378507871300002,nan
Erika Clarke Magana,21.535934291599997,nan
Daniela Munoz Gallegos,19.0882956879,nan
Alejandra Obregon,17.0869267625,nan
Carla Tiene,21.7987679671,nan
Jacqueline Frohlich,19.6632443532,nan
Liana Gabriela Ungur,18.162902121800002,nan
Gabriela Duch,18.0232717317,nan
Stephanie Schaer,23.310061601599998,nan
Melissa Berry,19.6769336071,nan
Melody Falco,27.624914442199998,nan
Sabrina Eisenberg,19.2169746749,nan
Micaela Moran,17.9356605065,nan
Christina Zachariadou,28.511978097199997,nan
Ipek Senoglu,23.7344284736,nan
Melisa Arevalo,23.1321013005,nan
Karin Palme,25.180013689299997,nan
Helen Crook,31.282683093800003,nan
Leticia Sobral,22.2368240931,nan
Kildine Chevalier,22.672142368200003,nan
Kaysie Smashey,22.8911704312,nan
Caroline Ann Basu,19.6167008898,nan
Marcela Evangelista,21.0431211499,nan
Nicole Melch,24.8432580424,nan
Ana Cecilia Trevino,19.2689938398,nan
Erica Biro,23.0308008214,nan
Karen Paterson,20.7912388775,nan
Joana Cortez,24.139630390100002,nan
Anastasia Dvornikova,20.7556468172,nan
Marcela Arroyo Vergara,18.2176591376,nan
Maria Vanina Garcia Sokol,19.1813826146,nan
Andrea Koch Benvenuto,17.8507871321,nan
Amanda Jasso,17.0869267625,nan
